Date,P/E,P/B,nifty
1-Jan-99,11.62,2.07,890.8
4-Jan-99,11.72,2.08,897.8
5-Jan-99,11.84,2.11,907.2
6-Jan-99,12.11,2.16,928.25
7-Jan-99,12.46,2.22,954.7
8-Jan-99,12.92,2.3,990.05
11-Jan-99,12.86,2.29,985.6
12-Jan-99,12.59,2.24,964.45
13-Jan-99,12.54,2.23,961.2
14-Jan-99,12.46,2.22,954.75
15-Jan-99,12.19,2.17,934.3
18-Jan-99,12.33,2.19,944.9
19-Jan-99,12.06,2.15,924.1
21-Jan-99,12.84,2.29,967.2
22-Jan-99,12.71,2.26,957.05
25-Jan-99,12.61,2.24,949.8
27-Jan-99,12.9,2.29,971.3
28-Jan-99,12.68,2.26,955.1
29-Jan-99,12.83,2.28,966.2
1-Feb-99,12.48,2.22,940.15
2-Feb-99,12.36,2.2,931.2
3-Feb-99,12.64,2.25,952.4
4-Feb-99,12.48,2.22,939.7
5-Feb-99,12.43,2.21,936.3
8-Feb-99,12.17,2.17,916.5
9-Feb-99,12.28,2.18,924.75
10-Feb-99,12.74,2.27,959.45
11-Feb-99,12.75,2.27,960.05
12-Feb-99,12.88,2.29,970.25
15-Feb-99,12.67,2.26,954.55
16-Feb-99,12.73,2.27,958.9
17-Feb-99,12.87,2.29,969.05
18-Feb-99,12.92,2.3,973.45
19-Feb-99,12.96,2.31,976.3
22-Feb-99,12.66,2.25,953.85
23-Feb-99,12.61,2.24,949.65
24-Feb-99,12.72,2.26,957.65
25-Feb-99,12.68,2.26,954.3
26-Feb-99,12.51,2.23,941.2
27-Feb-99,13.04,2.32,981.3
1-Mar-99,13.5,2.4,1015.8
3-Mar-99,13.98,2.49,1051.85
4-Mar-99,13.83,2.46,1041.2
5-Mar-99,14.01,2.49,1054.45
8-Mar-99,14.25,2.53,1072.1
9-Mar-99,14.33,2.55,1078.35
10-Mar-99,14.35,2.55,1078.85
11-Mar-99,14.09,2.51,1059.6
12-Mar-99,14.26,2.54,1072.65
15-Mar-99,14.28,2.54,1073.95
16-Mar-99,14,2.49,1053.15
17-Mar-99,14.1,2.51,1060.65
18-Mar-99,14.29,2.54,1074.6
